,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,Total score
0,0,group B,bachelor's degree,standard,0,72,72,74,218
1,0,group C,some college,standard,1,69,90,88,247
2,0,group B,master's degree,standard,0,90,95,93,278
3,1,group A,associate's degree,free/reduced,0,47,57,44,148
4,1,group C,some college,standard,0,76,78,75,229
5,0,group B,associate's degree,standard,0,71,83,78,232
6,0,group B,some college,standard,1,88,95,92,275
7,1,group B,some college,free/reduced,0,40,43,39,122
8,1,group D,high school,free/reduced,1,64,64,67,195
9,0,group B,high school,free/reduced,0,38,60,50,148
10,1,group C,associate's degree,standard,0,58,54,52,164
11,1,group D,associate's degree,standard,0,40,52,43,135
12,0,group B,high school,standard,0,65,81,73,219
13,1,group A,some college,standard,1,78,72,70,220
14,0,group A,master's degree,standard,0,50,53,58,161
15,0,group C,some high school,standard,0,69,75,78,222
16,1,group C,high school,standard,0,88,89,86,263
17,0,group B,some high school,free/reduced,0,18,32,28,78
18,1,group C,master's degree,free/reduced,1,46,42,46,134
19,0,group C,associate's degree,free/reduced,0,54,58,61,173
20,1,group D,high school,standard,0,66,69,63,198
21,0,group B,some college,free/reduced,1,65,75,70,210
22,1,group D,some college,standard,0,44,54,53,151
23,0,group C,some high school,standard,0,69,73,73,215
24,1,group D,bachelor's degree,free/reduced,1,74,71,80,225
25,1,group A,master's degree,free/reduced,0,73,74,72,219
26,1,group B,some college,standard,0,69,54,55,178
27,0,group C,bachelor's degree,standard,0,67,69,75,211
28,1,group C,high school,standard,0,70,70,65,205
29,0,group D,master's degree,standard,0,62,70,75,207
30,0,group D,some college,standard,0,69,74,74,217
31,0,group B,some college,standard,0,63,65,61,189
32,0,group E,master's degree,free/reduced,0,56,72,65,193
33,1,group D,some college,standard,0,40,42,38,120
34,1,group E,some college,standard,0,97,87,82,266
35,1,group E,associate's degree,standard,1,81,81,79,241
36,0,group D,associate's degree,standard,0,74,81,83,238
37,0,group D,some high school,free/reduced,0,50,64,59,173
38,0,group D,associate's degree,free/reduced,1,75,90,88,253
39,1,group B,associate's degree,free/reduced,0,57,56,57,170
40,1,group C,associate's degree,free/reduced,0,55,61,54,170
41,0,group C,associate's degree,standard,0,58,73,68,199
42,0,group B,associate's degree,standard,0,53,58,65,176
43,1,group B,some college,free/reduced,1,59,65,66,190
44,0,group E,associate's degree,free/reduced,0,50,56,54,160
45,1,group B,associate's degree,standard,0,65,54,57,176
46,0,group A,associate's degree,standard,1,55,65,62,182
47,0,group C,high school,standard,0,66,71,76,213
48,0,group D,associate's degree,free/reduced,1,57,74,76,207
49,1,group C,high school,standard,1,82,84,82,248
50,1,group E,some college,standard,0,53,55,48,156
51,1,group E,associate's degree,free/reduced,1,77,69,68,214
52,1,group C,some college,standard,0,53,44,42,139
53,1,group D,high school,standard,0,88,78,75,241
54,0,group C,some high school,free/reduced,1,71,84,87,242
55,0,group C,high school,free/reduced,0,33,41,43,117
56,0,group E,associate's degree,standard,1,82,85,86,253
57,1,group D,associate's degree,standard,0,52,55,49,156
58,1,group D,some college,standard,1,58,59,58,175
59,0,group C,some high school,free/reduced,0,0,17,10,27
60,1,group E,bachelor's degree,free/reduced,1,79,74,72,225
61,1,group A,some high school,free/reduced,0,39,39,34,112
62,1,group A,associate's degree,free/reduced,0,62,61,55,178
63,0,group C,associate's degree,standard,0,69,80,71,220
64,0,group D,some high school,standard,0,59,58,59,176
65,1,group B,some high school,standard,0,67,64,61,192
66,1,group D,some high school,free/reduced,0,45,37,37,119
67,0,group C,some college,standard,0,60,72,74,206
68,1,group B,associate's degree,free/reduced,0,61,58,56,175
69,0,group C,associate's degree,standard,0,39,64,57,160
70,0,group D,some college,free/reduced,1,58,63,73,194
71,1,group D,some college,standard,1,63,55,63,181
72,0,group A,associate's degree,free/reduced,0,41,51,48,140
73,1,group C,some high school,free/reduced,0,61,57,56,174
74,1,group C,some high school,standard,0,49,49,41,139
75,1,group B,associate's degree,free/reduced,0,44,41,38,123
76,1,group E,some high school,standard,0,30,26,22,78
77,1,group A,bachelor's degree,standard,1,80,78,81,239
78,0,group D,some high school,standard,1,61,74,72,207
79,0,group E,master's degree,standard,0,62,68,68,198
80,0,group B,associate's degree,standard,0,47,49,50,146
81,1,group B,high school,free/reduced,0,49,45,45,139
82,1,group A,some college,free/reduced,1,50,47,54,151
83,1,group E,associate's degree,standard,0,72,64,63,199
84,1,group D,high school,free/reduced,0,42,39,34,115
85,0,group C,some college,standard,0,73,80,82,235
86,0,group C,some college,free/reduced,0,76,83,88,247
87,0,group D,associate's degree,standard,0,71,71,74,216
88,0,group A,some college,standard,0,58,70,67,195
89,0,group D,some high school,standard,0,73,86,82,241
